City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Waipawa,NZ,2020-11-26 17:44:03,-41.41,175.52,61.0,87,35,18.34
240,Gamba,GA,2020-11-26 17:44:03,-2.65,10.0,76.62,86,97,9.51
241,Ladario,BR,2020-11-26 17:44:04,-19.0,-57.6,102.2,37,0,9.17
242,Flinders,AU,2020-11-26 17:44:04,-34.58,150.86,60.01,86,15,7.02
243,Faya,SA,2020-11-26 17:44:04,18.39,42.45,60.8,87,40,4.7
244,Constitucion,CL,2020-11-26 17:39:27,-35.33,-72.42,69.22,36,0,19.57
245,Kurilsk,RU,2020-11-26 17:44:05,45.23,147.88,30.67,92,98,24.45
246,Kutum,SD,2020-11-26 17:44:05,14.2,24.67,67.19,28,0,1.07
247,Chapais,CA,2020-11-26 17:43:51,49.78,-74.85,26.6,92,90,9.17
248,San Policarpo,PH,2020-11-26 17:44:05,12.18,125.51,81.43,82,98,8.1
249,Zuwarah,LY,2020-11-26 17:44:06,32.93,12.08,66.09,67,39,3.02
250,Cockburn Town,TC,2020-11-26 17:44:06,21.46,-71.14,80.6,69,40,11.41
251,Bodden Town,KY,2020-11-26 17:44:06,19.28,-81.25,84.2,66,75,18.34
252,Kostomuksha,RU,2020-11-26 17:44:07,64.57,30.58,27.46,99,95,2.3
253,Emirdag,TR,2020-11-26 17:44:07,39.02,31.15,34.54,82,0,0.63
254,Saldanha,ZA,2020-11-26 17:44:07,-33.01,17.94,66.2,55,0,16.11
255,Sur,OM,2020-11-26 17:44:08,22.57,59.53,72.16,59,0,5.73
256,Sitka,US,2020-11-26 17:44:08,57.05,-135.33,41.0,80,90,6.93
257,Puerto Penasco,MX,2020-11-26 17:44:09,31.32,-113.53,66.0,36,0,1.34
258,Shimoda,JP,2020-11-26 17:44:09,34.67,138.95,51.01,85,42,1.99
259,Sao Filipe,CV,2020-11-26 17:44:11,14.9,-24.5,79.36,66,89,16.31
260,Russell,US,2020-11-26 17:44:11,32.35,-85.2,69.8,94,90,4.88
261,Matay,EG,2020-11-26 17:44:11,28.42,30.78,60.39,55,53,6.85
262,Angul,IN,2020-11-26 17:44:11,20.85,85.1,69.8,50,100,2.71
263,Muscat,OM,2020-11-26 17:44:12,23.61,58.59,73.4,53,0,11.41
264,Bratsk,RU,2020-11-26 17:44:13,56.13,101.61,6.8,92,29,4.47
265,Vardo,NO,2020-11-26 17:44:13,70.37,31.11,30.2,86,0,8.05
266,Hamilton,US,2020-11-26 17:40:43,39.18,-84.53,53.6,76,90,8.05
267,Kieta,PG,2020-11-26 17:44:13,-6.22,155.63,78.91,74,91,5.35
268,Riyadh,SA,2020-11-26 17:41:34,24.69,46.72,71.6,33,0,3.36
269,La Roche-Sur-Yon,FR,2020-11-26 17:40:24,46.67,-1.43,51.8,81,0,4.7
270,Hervey Bay,AU,2020-11-26 17:44:14,-25.3,152.85,69.01,85,33,3.0
271,Yambio,SS,2020-11-26 17:44:15,4.57,28.4,75.09,70,65,3.44
272,Kamenka,RU,2020-11-26 17:44:15,51.32,42.77,27.0,94,83,3.06
273,Kahului,US,2020-11-26 17:43:02,20.89,-156.47,75.2,69,20,11.41
274,Isangel,VU,2020-11-26 17:44:17,-19.55,169.27,76.55,81,46,3.83
275,San Quintin,MX,2020-11-26 17:44:17,30.48,-115.95,62.58,61,58,6.67
276,Katangli,RU,2020-11-26 17:44:17,51.71,143.23,9.28,84,1,16.8
277,Ola,RU,2020-11-26 17:44:17,59.58,151.28,10.33,82,100,11.7
278,Montepuez,MZ,2020-11-26 17:44:18,-13.13,39.0,77.29,61,100,9.46
279,Umm Kaddadah,SD,2020-11-26 17:44:19,13.6,26.69,77.23,18,0,13.0
280,Rio Gallegos,AR,2020-11-26 17:44:19,-51.62,-69.22,64.4,20,40,16.11
281,Galle,LK,2020-11-26 17:44:19,6.04,80.22,78.6,84,0,5.1
282,Hoover,US,2020-11-26 17:41:00,33.41,-86.81,68.0,55,1,3.69
283,Adrar,MR,2020-11-26 17:44:21,20.5,-10.07,71.44,20,92,6.04
284,Touros,BR,2020-11-26 17:44:22,-5.2,-35.46,86.0,55,40,18.34
285,Calabozo,VE,2020-11-26 17:44:23,8.92,-67.43,84.97,72,77,4.99
286,Klaksvik,FO,2020-11-26 17:44:23,62.23,-6.59,46.4,93,100,25.28
287,Safaga,EG,2020-11-26 17:44:25,26.73,33.94,68.7,55,0,10.92
288,Nelson Bay,AU,2020-11-26 17:44:25,-32.72,152.15,69.01,82,90,17.22
289,Krasnokholm,RU,2020-11-26 17:44:26,51.6,54.16,24.91,98,92,4.76
290,San Cristobal,VE,2020-11-26 17:43:15,7.77,-72.22,78.8,88,75,2.24
291,Iqaluit,CA,2020-11-26 17:44:27,63.75,-68.51,10.4,72,90,8.05
292,Havre-Saint-Pierre,CA,2020-11-26 17:44:28,50.23,-63.6,24.8,68,1,9.17
293,Woodward,US,2020-11-26 17:44:28,36.43,-99.39,48.2,42,1,5.82
294,Soyo,AO,2020-11-26 17:44:28,-6.13,12.37,78.57,82,68,9.22
295,Kraksaan,ID,2020-11-26 17:44:29,-7.76,113.4,78.44,81,100,4.99
296,Luderitz,NA,2020-11-26 17:44:29,-26.65,15.16,68.0,56,0,21.92
297,Norman Wells,CA,2020-11-26 17:44:30,65.28,-126.83,10.4,72,75,4.7
298,Zaragoza,ES,2020-11-26 17:44:31,41.66,-0.88,59.0,93,40,3.36
299,Shekhupura,PK,2020-11-26 17:44:31,31.71,73.98,57.2,76,0,7.83
300,Auki,SB,2020-11-26 17:44:32,-8.77,160.7,77.27,78,19,3.67
301,Bardiyah,LY,2020-11-26 17:44:32,31.76,25.09,61.41,73,37,9.08
302,Kambove,CD,2020-11-26 17:44:33,-10.88,26.6,65.55,91,48,2.13
303,Ugoofaaru,MV,2020-11-26 17:44:34,5.67,73.0,82.65,67,47,10.58
